,车辆id,充电需求产生的时间,充电需求产生的地址,预估充电时长,车辆剩余行驶里程
0,0,9.337724785267799,[10 70],2.244419680993529,125.9300531677452
1,1,9.011403236101856,[41 61],1.2611079332880164,289.81534445199725
2,2,7.804172309023058,[42  9],1.871230374724038,188.128270879327
3,3,6.097227446596943,[12 61],1.8221928257802495,196.30119570329174
4,4,8.883309978604633,[42 89],1.4976411409621555,250.39314317297408
5,5,8.991623265223454,[60 70],1.3632432672714028,272.79278878809953
6,6,9.49056570380548,[13 64],1.143799696828007,309.36671719533217
7,7,8.265678251726152,[89 14],1.3595531520893174,273.4078079851138
8,8,7.362806969717868,[18 63],1.7729604919819983,204.50658466966695
9,9,7.120087223854109,[88 11],1.5731919683758777,237.8013386040204
10,10,6.197754965976984,[97 59],2.494290853336864,84.2848577771893
11,11,9.456256869147134,[85  0],1.6633707074536395,222.77154875772675
12,12,6.634409319341625,[59 46],1.1183197113010155,313.61338144983074
13,13,9.273544870253824,[75 33],1.5273250515131418,245.44582474780972
14,14,8.011476449053664,[90 10],1.4102688647458503,264.9551892090249
15,15,7.2367265855154725,[69  0],2.193446058326013,134.42565694566446
16,16,9.283731824702878,[63 80],2.0085163286140784,165.24727856432028
17,17,9.300814273201985,[43 36],1.3978512099344478,267.02479834425867
18,18,8.050017321190543,[97 95],1.0369353137969013,327.17744770051644
19,19,9.837959879255404,[67 57],1.2156596040199803,297.39006599666993
20,20,9.426685204563526,[88 99],2.3257484620067954,112.37525633220076
21,21,9.56174963669498,[72  2],1.1006734368740254,316.55442718766244
22,22,8.542685509405748,[86 93],2.095311908988694,150.78134850188437
23,23,9.132402605255916,[39  9],1.9728012337398433,171.19979437669278
24,24,9.610005296583985,[90 13],1.0199728337575018,330.00452770708307
25,25,8.776226919344772,[41 25],1.7965308144433372,200.57819759277714
26,26,8.311354475645159,[18 68],1.0237658423326248,329.3723596112292
27,27,7.201589983099555,[46 54],1.914336624640483,180.94389589325286
28,28,7.887270484236087,[45 13],1.6359136829352674,227.34771951078878
29,29,7.591522503576391,[28  1],1.432632769544835,261.2278717425275
30,30,7.859508170751634,[40 63],1.7691247228657572,205.1458795223738
31,31,9.70367445742538,[15 71],1.9895313274363389,168.41144542727685
32,32,8.33897675408219,[38 56],0.9122404911083624,347.9599181486062
33,33,8.336646568201328,[91 99],0.3990063870955549,433.4989354840742
34,34,9.206105693340307,[14 40],1.9142094490583212,180.9650918236131
35,35,6.095189520621145,[90 27],1.8354238926041198,194.09601789931338
36,36,8.832104255411366,[56 61],1.7331158081215208,211.14736531307986
37,37,8.51151687314509,[77 59],1.0921666863928998,317.9722189345167
38,38,6.570376701585187,[32 75],2.561692569624824,73.05123839586265
39,39,9.078345808983274,[50 78],0.9667462813850495,338.87561976915845
40,40,8.288851048783203,[95 63],2.9172184034848017,13.796932752533056
41,41,9.601085952580467,[41 24],1.4431491609166556,259.4751398472241
42,42,9.337752084548567,[67 57],1.4984378472832167,250.26035878613055
43,43,6.989336262652996,[94 80],1.789069363587235,201.82177273546085
44,44,7.122819304552118,[68 40],2.4271148419725983,95.48085967123362
45,45,8.811103974856426,[45 87],1.406666105234725,265.55564912754585
46,46,9.768785397374154,[46 49],0.42543871336019223,429.09354777330134
47,47,9.993210734806068,[43 92],1.0776404447536803,320.39325920771995
48,48,9.258027126091479,[46 11],1.3399374870000245,276.67708549999594
49,49,7.5340291961494605,[86 28],1.3243185377928697,279.2802437011884
50,50,8.869761111577308,[22 58],2.1978516477495527,133.6913920417412
51,51,7.690489277153003,[57 70],0.8220179251178655,362.9970124803557
52,52,8.711730449438443,[93 94],1.7587516547654445,206.87472420575926
53,53,8.17196381006441,[92 80],2.534565171755202,77.57247137413303
54,54,6.832985650777281,[44 63],1.7629830123842558,206.16949793595737
55,55,9.669029623834575,[91 76],1.397833389833058,267.027768361157
56,56,8.295177232532648,[41 49],1.680762248668315,219.87295855528086
57,57,5.014323866240702,[90 77],1.960516405734546,173.24726571090898
58,58,8.67950549260816,[13 91],1.845609257159161,192.39845714013984
59,59,6.812963997170977,[46 49],2.258552992643514,123.57450122608101
60,60,7.81539743977118,[60 51],1.0525402354588478,324.5766274235254
61,61,6.903710688246974,[31 66],0.795268190359341,367.4553016067765
62,62,6.839419940941372,[94 39],1.1152923728924418,314.1179378512597
63,63,7.648950020067335,[70 38],1.8066147221318276,198.89754631136205
64,64,8.800051302570395,[10 45],1.6316842309792063,228.05262817013227
65,65,7.548757319615995,[42 29],1.4398235772435732,260.0294037927378
66,66,8.902390406752762,[34 65],1.3890560991532208,268.4906501411299
67,67,8.834193094065725,[57 52],1.6395128395653487,226.74786007244188
68,68,8.81324333774969,[ 9 44],1.5681619997276603,238.6396667120566
69,69,8.296253999891546,[41 68],1.2688848387294454,288.51919354509243
70,70,8.605472132165458,[53 76],1.1922227746345628,301.29620422757284
71,71,6.958980479079003,[98 97],1.7576036190184225,207.0660634969296
72,72,9.21516376234336,[20 53],2.3961060072553324,100.64899879077794
73,73,9.69973971002965,[46  9],1.605027844782596,232.49535920290066
74,74,7.3341997150913105,[75 59],1.9985993555230879,166.9001074128187
75,75,8.176699227277144,[15 66],1.904265143001669,182.62247616638848
76,76,7.4136591069152376,[14 51],2.2233928796174287,129.43452006376188
77,77,7.173699318738808,[71 33],1.797944873090495,200.34252115158415
78,78,5.698687340354702,[20 92],0.8346509228663542,360.89151285560763
79,79,6.710352621552305,[ 3 34],1.2353818501710567,294.1030249714905
80,80,6.682234075278629,[47 76],2.6961002837393604,50.649952710106604
81,81,7.819675899597856,[16 42],1.0758311107491467,320.69481487514224
82,82,8.562415243168536,[26 98],1.7874889280629882,202.08517865616864
83,83,7.53615859393693,[94 96],1.522402988505126,246.266168582479
84,84,7.875094526996431,[59 94],1.4268908726583562,262.18485455694065
85,85,8.4542428179287,[42 92],1.628718656019666,228.54689066338898
86,86,8.221777770375258,[70 23],1.6680638717886684,221.9893547018886
87,87,8.46133184537406,[ 4 94],1.806780016153993,198.86999730766783
88,88,7.555187356233074,[95 41],1.3330805631486369,277.81990614189385
89,89,8.257447957263965,[27 78],1.500804391200443,249.86593479992615
90,90,7.9354182104723225,[91  4],1.6682036352401886,221.96606079330192
91,91,9.806120983180591,[65 93],1.4530000572542605,257.83332379095657
