,car_id,time_point,addr,charge_time,remain_licheng
0,0,9.179149699301393,[42 36],1.7862217411354042,202.29637647743263
1,1,7.594816811914888,[78  0],1.1637158517534003,306.0473580410999
2,2,8.766560852364487,[42 32],2.0477986038938463,158.70023268435895
3,3,9.689000373209957,[45 64],0.9978323526312087,333.6946078947986
4,4,8.464970039645303,[51 43],1.5111094349526395,248.14842750789342
5,5,6.990373329308058,[63 13],1.6887628946049067,218.53951756584888
6,6,7.113075546931814,[42 35],1.4548705712839345,257.52157145267756
7,7,7.862343314680818,[37 65],0.9854491653265468,335.75847244557553
8,8,9.822948745667787,[37 31],0.9181958663616325,346.96735560639456
9,9,8.674118064917202,[32 46],1.0071283279831014,332.1452786694831
10,10,8.397786922351395,[35 53],1.5954963743296158,234.0839376117307
11,11,9.055557882331989,[33 49],2.3953539918928266,100.7743346845289
12,12,7.927352934987018,[87 82],1.2283787238610122,295.2702126898313
13,13,6.740047117586748,[85  1],1.859898259891758,190.016956684707
14,14,6.667782122358646,[63 22],1.6518042766361007,224.69928722731655
15,15,6.616918420580172,[27 52],2.334604999162371,110.89916680627147
16,16,8.92353090384324,[37 67],1.307339597767417,282.1100670387639
17,17,9.26348610892148,[61  8],1.7196876828664225,213.38538618892957
18,18,7.738000546568987,[43 62],1.845807658954606,192.36539017423235
19,19,7.368105258846521,[54 74],1.1669438974048043,305.50935043253264
20,20,7.518706843029855,[ 2 83],0.6607691378517719,389.87181035803803
21,21,9.814529117786552,[25 55],2.205463591728501,132.42273471191655
22,22,7.606894428086713,[ 7 54],0.4591074298561193,423.48209502398015
23,23,6.554791088188004,[72 60],0.9539664043422574,341.0055992762904
24,24,8.603119352956526,[38 70],0.8863369438800596,352.27717601999007
25,25,9.948347774232516,[95 40],1.4782322523735352,253.62795793774413
26,26,9.070855990525455,[33 98],1.4952795444816458,250.7867425863924
27,27,6.74271884065848,[75  1],1.2064416032074583,298.9263994654236
28,28,8.304129595291997,[62 36],1.8181793959716963,196.97010067138396
29,29,9.988576865069627,[ 8 56],1.5385937085451613,243.56771524247313
30,30,7.971948246089532,[ 8 87],1.710127900591546,214.97868323474233
31,31,9.0651947362715,[49 79],2.111736530571136,148.04391157147734
32,32,7.970263624365705,[ 7 92],2.0053254307945965,165.77909486756727
33,33,9.737849970358528,[41 63],1.8908843105567985,184.85261490720026
34,34,7.527656658303931,[45 63],1.0104160550169947,331.5973241638342
35,35,8.364009148340209,[52 73],1.7756876832932442,204.05205278445928
36,36,8.144682799090386,[93 87],1.0268448818297067,328.85918636171556
37,37,8.81640118216998,[33 46],2.2203278023167234,129.9453662805461
38,38,6.703568896211359,[61 12],2.198643863312947,133.55935611450883
39,39,7.7604510664613695,[94 39],1.4125689273076503,264.57184544872496
40,40,9.926076385842606,[10 78],2.008080395362901,165.31993410618315
41,41,8.773776393451294,[92 39],2.209146535494506,131.80891075091563
42,42,8.888389024455678,[ 5 33],0.4054884977774518,432.41858370375803
43,43,8.682804547875097,[36 55],1.1774979584172223,303.75034026379626
44,44,8.976280075429079,[38 37],1.395070100419447,267.4883165967588
45,45,8.253578770557901,[ 7 79],1.8649632021323581,189.17279964460698
46,46,6.949684112957986,[26 50],0.9241019888009211,345.9830018665132
47,47,8.05865420137754,[ 8 44],1.217356758799859,297.10720686669015
48,48,6.57248044921654,[44 67],1.8411895835646632,193.13506940588945
49,49,6.2783816000699915,[97 41],1.181665663172459,303.0557228045902
50,50,8.948419499842474,[64  9],0.8262062897223265,362.29895171294555
51,51,7.613623824182303,[52 74],1.078320083303929,320.27998611601186
52,52,9.322699886217084,[29 52],2.7798022275127923,36.699628747867955
